I got the file, trying to open...
crc32_combine64,c:\users\user\projects\zlib-1.2.11\crc32.c,440
gz_decomp,c:\users\user\projects\zlib-1.2.11\gzread.c,177
gzsetparams,c:\users\user\projects\zlib-1.2.11\gzwrite.c,589
gzclearerr,c:\users\user\projects\zlib-1.2.11\gzlib.c,555
_tr_init,c:\users\user\projects\zlib-1.2.11\trees.c,381
adler32_combine64,c:\users\user\projects\zlib-1.2.11\adler32.c,184
gz_read,c:\users\user\projects\zlib-1.2.11\gzread.c,298
gzdirect,c:\users\user\projects\zlib-1.2.11\gzread.c,609
build_tree,c:\users\user\projects\zlib-1.2.11\trees.c,618
gz_look,c:\users\user\projects\zlib-1.2.11\gzread.c,93
deflateStateCheck,c:\users\user\projects\zlib-1.2.11\deflate.c,355
_tr_align,c:\users\user\projects\zlib-1.2.11\trees.c,898
__scrt_dllmain_before_initialize_c,f:\dd\vctools\crt\vcstartup\src\utility\utility.cpp,366
_DllMainCRTStartup,f:\dd\vctools\crt\vcstartup\src\startup\dll_dllmain.cpp,243
gzfwrite,c:\users\user\projects\zlib-1.2.11\gzwrite.c,279
NtCurrentTeb,f:\dd\externalapis\windows\10\sdk\inc\winnt.h,21441
bi_flush,c:\users\user\projects\zlib-1.2.11\trees.c,1175
gz_fetch,c:\users\user\projects\zlib-1.2.11\gzread.c,231
__report_securityfailureEx,f:\dd\vctools\crt\vcstartup\src\gs\gs_report.c,338
fill_window,c:\users\user\projects\zlib-1.2.11\deflate.c,1484
__scrt_initialize_default_local_stdio_options,f:\dd\vctools\crt\vcstartup\src\defaults\default_local_stdio_options.cpp,17
inflatePrime,c:\users\user\projects\zlib-1.2.11\inflate.c,251
gf2_matrix_times,c:\users\user\projects\zlib-1.2.11\crc32.c,347
send_tree,c:\users\user\projects\zlib-1.2.11\trees.c,752
at_quick_exit,f:\dd\vctools\crt\vcstartup\src\utility\utility.cpp,281
__scrt_initialize_onexit_tables,f:\dd\vctools\crt\vcstartup\src\utility\utility.cpp,296
inflateInit_,c:\users\user\projects\zlib-1.2.11\inflate.c,243
deflateEnd,c:\users\user\projects\zlib-1.2.11\deflate.c,1078
adler32_combine,c:\users\user\projects\zlib-1.2.11\adler32.c,176
fixedtables,c:\users\user\projects\zlib-1.2.11\infback.c,84
fixedtables,c:\users\user\projects\zlib-1.2.11\inflate.c,280
gz_reset,c:\users\user\projects\zlib-1.2.11\gzlib.c,77
__scrt_dllmain_crt_thread_detach,f:\dd\vctools\crt\vcstartup\src\utility\utility.cpp,451
inflate_table,c:\users\user\projects\zlib-1.2.11\inftrees.c,39
__scrt_acquire_startup_lock,f:\dd\vctools\crt\vcstartup\src\utility\utility.cpp,139
zcfree,c:\users\user\projects\zlib-1.2.11\zutil.c,318
_allshr,f:\dd\vctools\crt\vcstartup\src\helper\i386\llshr.asm,42
_allshr,f:\dd\vctools\crt\vcstartup\src\helper\i386\llshr.asm,49
__scrt_is_managed_app,f:\dd\vctools\crt\vcstartup\src\utility\utility_desktop.cpp,32
__scrt_unhandled_exception_filter,f:\dd\vctools\crt\vcstartup\src\utility\utility_desktop.cpp,71
_tr_flush_block,c:\users\user\projects\zlib-1.2.11\trees.c,916
__crt_fast_encode_pointer<void (__cdecl**)(void)>,f:\dd\vctools\crt\vcruntime\inc\internal_shared.h,516
__report_rangecheckfailure,f:\dd\vctools\crt\vcstartup\src\gs\gs_report.c,555
is_potentially_valid_image_base,f:\dd\vctools\crt\vcstartup\src\utility\utility.cpp,28
gz_load,c:\users\user\projects\zlib-1.2.11\gzread.c,26
init_block,c:\users\user\projects\zlib-1.2.11\trees.c,409
gz_error,c:\users\user\projects\zlib-1.2.11\gzlib.c,583
gf2_matrix_square,c:\users\user\projects\zlib-1.2.11\crc32.c,364
deflate_fast,c:\users\user\projects\zlib-1.2.11\deflate.c,1827
__scrt_narrow_environment_policy::initialize_environment,f:\dd\vctools\crt\vcstartup\inc\vcstartup_internal.h,416
_get_startup_argv_mode,f:\dd\vctools\crt\vcstartup\src\defaults\argv_mode.cpp,14
gzclose,c:\users\user\projects\zlib-1.2.11\gzclose.c,13
deflateResetKeep,c:\users\user\projects\zlib-1.2.11\deflate.c,469
